City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Biak,ID,76.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
287,Port Hedland,AU,86.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
288,Sapa,PH,80.69,overcast clouds,5.1544,120.3241,
289,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
291,Kahului,US,66.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
294,Bowen,AU,73.4,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
295,Mayumba,GA,82.67,light rain,-3.432,10.6554,LIKWALE LODGE
296,Vanimo,PG,79.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
297,Katubao,PH,80.24,broken clouds,5.8892,124.8294,IML Ecopark
298,Mizdah,LY,64.42,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
299,Hobyo,SO,83.08,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
300,Kavieng,PG,82.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
303,Padang,ID,78.8,moderate rain,-0.9492,100.3543,Mercure Padang
308,Mantua,IT,64.0,overcast clouds,45.1667,10.7833,Hotel la Favorita
309,Yanam,IN,84.2,few clouds,16.7333,82.2167,The Regency Hotel
312,Olinda,BR,84.2,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
317,Flinders,AU,62.01,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
319,Warangal,IN,87.19,scattered clouds,18.0,79.5833,OYO 46557 Hotel Dolphin
321,Pisco,PE,71.6,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
323,Kavaratti,IN,83.16,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
324,Manjakandriana,MG,71.6,few clouds,-18.9167,47.8,Ampahikely Manjakandriana
325,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
326,Libertador General San Martin,AR,84.0,overcast clouds,-23.8064,-64.7876,Posada del Sol
328,Basco,PH,75.16,clear sky,20.4487,121.9702,Nathaniel's Lodge
334,Chateaubelair,VC,80.6,volcanic ash,13.2833,-61.25,Richmond Vale Diving & Hiking Center
339,Florianopolis,BR,80.01,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
341,Noumea,NC,79.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
343,Vila Velha,BR,82.4,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
344,Tsabong,BW,86.14,clear sky,-26.0217,22.401,Springbok Motel
347,Bandarbeyla,SO,80.15,clear sky,9.4942,50.8122,JABIR HOTEL
349,Sal Rei,CV,77.0,few clouds,16.1833,-22.9167,Marine Club Beach Resort
350,Micheweni,TZ,82.15,scattered clouds,-4.9667,39.8333,
351,Kruisfontein,ZA,71.01,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
352,Dhandhuka,IN,92.23,clear sky,22.3667,71.9833,Amin Auto
353,Pochutla,MX,84.99,clear sky,15.7432,-96.4661,Hotel Posada San Jose
360,Zaltan,LY,63.07,clear sky,32.946999999999996,11.8665,زلطن الشرقية
361,Hamilton,US,68.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
363,Montlucon,FR,66.99,overcast clouds,46.3333,2.6,Hotel De La Gare
365,Los Llanos De Aridane,ES,71.6,broken clouds,28.6585,-17.9182,Valle Aridane
367,Luau,AO,72.81,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
369,Mogadishu,SO,86.0,broken clouds,2.0371,45.3438,Olympic Hotel
373,Richards Bay,ZA,75.58,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
374,Brownwood,US,69.8,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
