City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Severo-Kurilsk,RU,2021-04-05 19:32:40,50.6789,156.125,27.41,84,100,13.27
100,Bartica,GY,2021-04-05 19:32:40,6.4,-58.6167,82.4,83,20,9.22
101,Tazovskiy,RU,2021-04-05 19:32:41,67.4667,78.7,31.89,99,100,5.21
102,Acarau,BR,2021-04-05 19:32:41,-2.8856,-40.12,81.81,79,44,15.84
103,Armizonskoye,RU,2021-04-05 19:32:41,55.9461,67.6736,32.4,87,93,22.17
104,Namatanai,PG,2021-04-05 19:32:42,-3.6667,152.4333,78.35,84,100,1.28
105,Tasiilaq,GL,2021-04-05 19:32:42,65.6145,-37.6368,21.2,73,75,10.36
106,Usakos,NA,2021-04-05 19:32:42,-22.0,15.6,79.36,42,10,5.91
107,Bathsheba,BB,2021-04-05 19:32:43,13.2167,-59.5167,84.2,58,20,16.11
108,Beohari,IN,2021-04-05 19:32:43,24.05,81.3833,79.3,10,0,5.39
109,Jiangyou,CN,2021-04-05 19:32:44,31.7667,104.7167,55.58,91,100,1.99
110,Tompa,HU,2021-04-05 19:32:44,46.2061,19.5391,46.99,62,77,9.22
111,Guerrero Negro,MX,2021-04-05 19:32:44,27.9769,-114.0611,72.19,53,6,14.09
112,Yellowknife,CA,2021-04-05 19:28:50,62.456,-114.3525,28.0,80,90,18.41
113,Ilulissat,GL,2021-04-05 19:32:45,69.2167,-51.1,19.4,79,75,8.05
114,Itoman,JP,2021-04-05 19:32:45,26.1247,127.6694,66.2,63,75,18.41
115,Codrington,AU,2021-04-05 19:32:45,-38.2667,141.9667,57.96,73,100,5.91
116,Beisfjord,NO,2021-04-05 19:32:46,68.3751,17.5988,30.2,100,90,3.44
117,Howard Springs,AU,2021-04-05 19:32:46,-12.497,131.047,80.6,89,90,4.61
118,Port Lincoln,AU,2021-04-05 19:32:46,-34.7333,135.8667,61.47,81,2,10.22
119,Abha,SA,2021-04-05 19:32:47,18.2164,42.5053,68.0,52,10,4.12
120,Nome,US,2021-04-05 19:32:47,64.5011,-165.4064,-5.8,65,1,4.61
121,Broome,US,2021-04-05 19:32:47,42.2506,-75.833,57.99,28,1,13.8
122,Alghero,IT,2021-04-05 19:32:48,40.5589,8.3181,53.6,76,0,4.61
123,Trinidad,BO,2021-04-05 19:32:48,-14.8333,-64.9,86.0,70,75,3.44
124,Savannah Bight,HN,2021-04-05 19:32:49,16.45,-85.85,80.6,74,75,16.44
125,Rybnoye,RU,2021-04-05 19:32:49,54.7256,39.5119,34.0,74,26,7.16
126,Porbandar,IN,2021-04-05 19:32:49,21.6422,69.6093,79.29,74,1,8.81
127,Hobyo,SO,2021-04-05 19:32:50,5.3505,48.5268,82.42,70,8,13.15
128,Malanje,AO,2021-04-05 19:32:50,-9.5402,16.341,65.55,94,99,2.48
129,Provideniya,RU,2021-04-05 19:32:51,64.3833,-173.3,1.4,78,0,22.37
130,Sebeta,ET,2021-04-05 19:32:51,8.9167,38.6167,61.77,51,48,4.63
131,Puerto Ayora,EC,2021-04-05 19:32:51,-0.7393,-90.3518,84.2,70,20,13.8
132,Makakilo City,US,2021-04-05 19:32:52,21.3469,-158.0858,78.8,57,1,11.5
133,Naze,JP,2021-04-05 19:32:52,28.3667,129.4833,59.25,70,20,9.89
134,Sambava,MG,2021-04-05 19:32:52,-14.2667,50.1667,77.07,88,100,4.38
135,New Norfolk,AU,2021-04-05 19:32:53,-42.7826,147.0587,50.0,76,5,2.73
136,Chokurdakh,RU,2021-04-05 19:32:53,70.6333,147.9167,-32.87,100,68,1.95
137,Huarmey,PE,2021-04-05 19:32:53,-10.0681,-78.1522,76.1,73,25,10.47
138,Beaumont,US,2021-04-05 19:32:54,30.0861,-94.1019,78.8,44,90,11.5
139,Mahebourg,MU,2021-04-05 19:32:54,-20.4081,57.7,78.8,83,40,9.22
140,Shubarshi,KZ,2021-04-05 19:32:54,48.5872,57.1869,41.18,85,94,11.59
141,Lagoa,PT,2021-04-05 19:32:55,39.05,-27.9833,59.56,81,34,19.01
142,Fukue,JP,2021-04-05 19:32:55,32.6881,128.8419,56.07,63,9,25.95
143,Thompson,CA,2021-04-05 19:32:55,55.7435,-97.8558,35.6,100,90,3.44
144,Kalmunai,LK,2021-04-05 19:32:56,7.4167,81.8167,78.24,83,34,0.78
145,Qaqortoq,GL,2021-04-05 19:32:56,60.7167,-46.0333,41.0,70,75,3.44
146,Omboue,GA,2021-04-05 19:32:56,-1.5746,9.2618,79.54,85,100,4.56
147,Ponta Do Sol,PT,2021-04-05 19:32:57,32.6667,-17.1,61.0,63,100,1.01
148,Yakymivka,UA,2021-04-05 19:32:57,46.6897,35.1536,39.67,88,32,9.19
149,Kapit,MY,2021-04-05 19:32:57,2.0167,112.9333,72.54,99,97,2.15
150,Esperance,AU,2021-04-05 19:32:58,-33.8667,121.9,71.6,56,42,11.5
151,Dipalpur,PK,2021-04-05 19:32:58,30.6709,73.6529,75.54,29,95,8.66
152,Arequipa,PE,2021-04-05 19:32:58,-16.3989,-71.535,68.0,52,75,12.66
153,Fare,PF,2021-04-05 19:32:59,-16.7,-151.0167,81.01,72,84,17.74
154,Saint-Georges,GD,2021-04-05 19:32:59,12.0564,-61.7485,84.2,70,40,20.71
155,Camacha,PT,2021-04-05 19:32:59,33.0833,-16.3333,64.4,59,20,4.61
156,Ternate,ID,2021-04-05 19:33:00,0.8,127.4,79.56,79,15,6.58
157,Hasaki,JP,2021-04-05 19:33:00,35.7333,140.8333,46.4,71,40,14.97
158,Castro,BR,2021-04-05 19:33:00,-24.7911,-50.0119,70.9,60,67,5.99
159,Cuauhtemoc,MX,2021-04-05 19:29:53,28.4167,-106.8667,75.99,20,48,8.01
160,Bambanglipuro,ID,2021-04-05 19:33:01,-7.95,110.2833,76.96,87,100,4.32
161,Alta Floresta,BR,2021-04-05 19:33:01,-9.8756,-56.0861,87.8,70,75,3.44
162,Bonavista,CA,2021-04-05 19:33:01,48.6499,-53.1147,39.2,100,100,2.3
163,Sorland,NO,2021-04-05 19:33:02,67.667,12.6934,35.6,80,90,17.27
164,Cap-Aux-Meules,CA,2021-04-05 19:33:02,47.3821,-61.8597,35.6,100,100,13.8
165,Kutum,SD,2021-04-05 19:33:02,14.2,24.6667,76.21,9,0,12.48
166,Hidalgo,MX,2021-04-05 19:33:03,20.5,-99.0,72.9,19,88,9.48
167,Fortuna,US,2021-04-05 19:33:03,40.5982,-124.1573,57.99,82,90,9.22
168,Brindisi,IT,2021-04-05 19:33:04,40.5833,17.6667,52.0,61,0,2.3
169,Jega,NG,2021-04-05 19:33:04,12.2175,4.3792,87.62,12,76,2.71
170,Port Blair,IN,2021-04-05 19:33:04,11.6667,92.75,80.42,77,32,5.06
171,Mangan,IN,2021-04-05 19:33:05,27.5167,88.5333,62.69,35,0,7.27
172,Chatra,IN,2021-04-05 19:33:05,24.2167,84.8667,78.8,53,1,6.91
173,Dingle,PH,2021-04-05 19:33:05,10.9995,122.6711,74.53,90,100,6.08
174,Vila Franca Do Campo,PT,2021-04-05 19:33:06,37.7167,-25.4333,60.8,82,20,9.22
