City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Half Moon Bay,US,37.4636,-122.4286,50.0,81,90,12.66,haze
147,Gwadar,PK,25.1216,62.3254,79.83,73,0,11.95,clear sky
148,Bambous Virieux,MU,-20.3428,57.7575,78.01,94,75,12.66,light rain
149,Hohhot,CN,40.8106,111.6522,50.0,57,0,4.47,clear sky
150,Norman Wells,CA,65.282,-126.8329,-7.6,77,90,19.57,snow
151,Stornoway,GB,58.2093,-6.3865,39.99,70,40,17.27,scattered clouds
152,Gorodishche,RU,48.8045,44.4744,39.2,87,90,24.61,overcast clouds
153,Torbay,CA,47.6666,-52.7314,39.2,100,90,16.11,moderate rain
154,Lekoni,GA,-1.5843,14.2591,83.7,51,98,6.51,overcast clouds
155,Urusha,RU,54.05,122.9,25.32,96,97,5.66,overcast clouds
156,Kysyl-Syr,RU,63.8986,122.7617,5.45,96,92,5.86,overcast clouds
157,Pangnirtung,CA,66.1451,-65.7125,17.6,93,90,4.61,light snow
158,Shelui,TZ,-4.3667,34.2,76.37,71,39,3.98,light rain
159,Atkarsk,RU,51.8718,45.0078,37.31,91,100,11.7,overcast clouds
160,Zolotyy Potik,UA,48.9095,25.3393,53.6,22,0,13.42,clear sky
161,Udachnyy,RU,66.4167,112.4,-6.36,98,100,11.56,overcast clouds
162,Grand Island,US,40.925,-98.342,53.6,50,1,17.27,clear sky
163,Yanji,CN,42.9075,129.5078,38.82,39,0,1.61,clear sky
164,Rodeo,US,38.033,-122.2669,50.0,76,1,11.5,clear sky
165,La Ferte-Bernard,FR,48.1863,0.6536,64.99,55,77,6.91,broken clouds
166,Havelock,US,34.8791,-76.9013,75.99,68,20,8.05,few clouds
167,Marzuq,YE,14.4,46.4667,77.38,21,1,14.34,clear sky
168,Tianpeng,CN,30.9866,103.9393,57.99,1,100,5.28,light rain
169,Conil,FR,44.9673,3.7177,40.57,78,100,12.24,overcast clouds
170,Mohacs,HU,45.9931,18.6831,59.0,29,0,9.22,clear sky
171,Ellisras,ZA,-23.6649,27.7443,88.68,18,14,8.1,few clouds
172,Monteagudo,BO,-19.8167,-63.9833,77.0,78,75,5.75,broken clouds
173,Deniliquin,AU,-35.5333,144.9667,51.01,78,53,5.57,broken clouds
174,Cayenne,GF,4.9333,-52.3333,77.0,94,75,4.61,heavy intensity rain
175,Georgetown,MY,5.4112,100.3354,86.0,79,20,6.91,few clouds
176,Fairbanks,US,64.8378,-147.7164,-11.2,64,90,5.75,overcast clouds
177,Shingu,JP,33.7333,135.9833,39.99,70,1,7.99,clear sky
